Page,Section,Rq_No,Function_name,Function description,Integration(If any)
Registration Page,,,,,
Customer Registration,Page Access Control,1.1.1,Guest Access Check,Allow only guest (non-logged-in) users to access registration page,"User doctype, Session management"
Customer Registration,Page Access Control,1.1.2,Redirect Logged Users,"IF user is already logged in, THEN redirect to /customer/dashboard",Session validation
Customer Registration,Registration Form Fields,1.2.1,Full Name Input,"Text field for customer's full name (required, min 2 characters)",CustomerProfile doctype
Customer Registration,Registration Form Fields,1.2.2,Email Input,"Email field with validation (required, unique, lowercase conversion)","User doctype, CustomerProfile doctype"
Customer Registration,Registration Form Fields,1.2.3,Password Input,"Password field with visibility toggle (required, min 6 characters)",User doctype (encrypted)
Customer Registration,Registration Form Fields,1.2.4,Password Toggle,Button to show/hide password text (eye icon toggle),Client-side only
Customer Registration,Social Login Options,1.3.1,Google OAuth,Disabled button with Coming Soon badge for Google sign-up,Google OAuth API (future)
Customer Registration,Social Login Options,1.3.2,Phone OTP,Disabled button with Coming Soon badge for phone OTP sign-up,SMS Gateway (future)
,,,,,
,,,,,
Profile setup Page,,,,,
Profile Setup,Personal Details,2.2.1,Full Name,"Text input (required, pre-filled from User.full_name)",CustomerProfile.customer_name
Profile Setup,Personal Details,2.2.2,Email Display,Read-only email field (from session user),CustomerProfile.email
Profile Setup,Personal Details,2.2.3,Phone Number,"Tel input (required, format: 10 digits)",CustomerProfile.phone_number
Profile Setup,Personal Details,2.2.4,Secondary Mobile,Tel input (optional),CustomerProfile.secondary_mobile
Profile Setup,Personal Details,2.2.5,Emergency Contact,Tel input (optional),CustomerProfile.emergency_contact
Profile Setup,Address Details,2.3.1,Address Line 1,"Textarea (required, primary address)",CustomerProfile.default_address
Profile Setup,Address Details,2.3.2,Address Line 2,"Text input (optional, apartment/building)",CustomerProfile.address_line_2
Profile Setup,Address Details,2.3.3,Landmark,Text input (optional),CustomerProfile.landmark
Profile Setup,Address Details,2.3.4,Pincode,"Text input (required, 6 digits)",CustomerProfile.pincode
Profile Setup,Address Details,2.3.5,City,Text input (required),CustomerProfile.city
Profile Setup,Address Details,2.3.6,State,Text input (required),CustomerProfile.state
Profile Setup,Location Detection,2.4.1,Get My Location,Button to detect current GPS location using browser geolocation API,Navigator.geolocation
Profile Setup,Location Detection,2.4.2,Reverse Geocoding,Convert lat/lng to address using Google Maps Geocoding API,google_maps.geocode_address API
Profile Setup,Location Detection,2.4.3,Auto-fill Address,Populate all address fields from geocoded result,CustomerProfile fields
Profile Setup,Location Detection,2.4.4,Store Coordinates,Save geo_latitude and geo_longitude in hidden fields,"CustomerProfile.geo_latitude, geo_longitude"
Profile Setup,Map Selection,2.5.1,Show Map Button,Open interactive Google Map in modal/container,Google Maps JavaScript API
Profile Setup,Map Selection,2.5.2,Map Initialization,"Load map centered at stored coordinates or default (Delhi: 28.6139, 77.2090)",Google Maps API
Profile Setup,Map Selection,2.5.3,Draggable Marker,Blue marker that user can drag to adjust location,Google Maps Marker
Profile Setup,Map Selection,2.5.4,Address Search,Autocomplete search box to find address (Google Places Autocomplete),Google Places API
Profile Setup,Map Selection,2.5.5,Manual Search,Search button to geocode typed address using forward_geocode API,google_maps.forward_geocode API
Profile Setup,Map Selection,2.5.6,Click to Place,Click anywhere on map to move marker,Google Maps click event
Profile Setup,Map Selection,2.5.7,Confirm Location,Button to save selected coordinates and reverse geocode to address,google_maps.geocode_address API
Profile Setup,Map Selection,2.5.8,Cancel Map,Button to close map without saving,UI state
Profile Setup,Vehicle Details,2.6.1,Vehicle Make,"Text input (required, e.g., Honda, Toyota)",CustomerVehicle.vehicle_make
Profile Setup,Vehicle Details,2.6.2,Vehicle Model,"Text input (required, e.g., City, Fortuner)",CustomerVehicle.vehicle_model
Profile Setup,Vehicle Details,2.6.3,Vehicle Number,"Text input (required, e.g., KA01AB1234)",CustomerVehicle.vehicle_number
Profile Setup,Vehicle Details,2.6.4,Vehicle Type,"Dropdown (required): Hatchback, Sedan, SUV, Luxury, EV",CustomerVehicle.vehicle_type
Profile Setup,Vehicle Details,2.6.5,Chassis Number,"Text input (optional, 17-char VIN)",CustomerVehicle.vehicle_chasis_number
Profile Setup,Vehicle Details,2.6.6,Primary Vehicle,Checkbox to mark as primary vehicle (first vehicle auto-checked),CustomerVehicle.is_primary
Profile Setup,Multiple Vehicles,2.7.1,Add Another Vehicle,Button to clone vehicle entry form,Client-side DOM manipulation
Profile Setup,Multiple Vehicles,2.7.2,Remove Vehicle,Button on each vehicle entry (except first) to remove it,Client-side DOM manipulation
Profile Setup,Multiple Vehicles,2.7.3,Minimum One Vehicle,Validation: At least 1 vehicle required before submission,Form validation
,,,,,
,,,,,
Customer Profile page ,,,,,
Customer Profile,Personal Information,3.2.1,Display Profile Form,Show editable form with current profile data,CustomerProfile doctype
Customer Profile,Personal Information,3.2.2,Full Name,Editable text input,CustomerProfile.customer_name
Customer Profile,Personal Information,3.2.3,Email,Read-only display,CustomerProfile.email
Customer Profile,Personal Information,3.2.4,Phone,Editable tel input,CustomerProfile.phone_number
Customer Profile,Personal Information,3.2.5,City,Editable text input,CustomerProfile.city
Customer Profile,Personal Information,3.2.6,Address Line 1,Editable textarea,CustomerProfile.default_address
Customer Profile,Personal Information,3.2.7,Address Line 2,Editable text input,CustomerProfile.address_line_2
Customer Profile,Personal Information,3.2.8,Landmark,Editable text input,CustomerProfile.landmark
Customer Profile,Personal Information,3.2.9,Pincode,Editable text input,CustomerProfile.pincode
Customer Profile,Personal Information,3.2.10,State,Editable text input,CustomerProfile.state
Customer Profile,Location Update,3.3.1,Update Location Button,Detect current GPS location and auto-fill address,"Navigator.geolocation, google_maps.geocode_address"
Customer Profile,Location Update,3.3.2,Select on Map Button,Open interactive map to select location,Google Maps API
Customer Profile,Location Update,3.3.3,Map Functionality,Same as Profile Setup (2.5.1 to 2.5.8),Google Maps API
Customer Profile,Save Profile Changes,3.4.1,Save Changes Button,Submit updated profile data,customer_portal.update_profile API
Customer Profile,Save Profile Changes,3.4.2,Update Backend,Backend updates allowed fields in CustomerProfile,CustomerProfile doctype
Customer Profile,Save Profile Changes,3.4.3,Success Feedback,Show green alert Profile updated successfully,frappe.show_alert
Customer Profile,My Vehicles Section,3.5.1,Load Vehicles,Fetch and display all customer vehicles on page load,customer_portal.get_customer_vehicles API
Customer Profile,My Vehicles Section,3.5.2,Display Vehicle Cards,"Show each vehicle as card with make, model, number, type, primary badge",CustomerVehicle child table
Customer Profile,My Vehicles Section,3.5.3,Primary Badge,Green Primary badge on primary vehicle card,CustomerVehicle.is_primary
Customer Profile,My Vehicles Section,3.5.4,Edit Vehicle Button,Open vehicle form pre-filled with vehicle data,Client-side form
Customer Profile,My Vehicles Section,3.5.5,Delete Vehicle Button,Remove vehicle (min 1 vehicle must remain),customer_portal.delete_vehicle API
Customer Profile,Add/Edit Vehicle,3.6.1,Add Vehicle Button,Show empty vehicle form,Client-side form toggle
Customer Profile,Add/Edit Vehicle,3.6.2,Vehicle Form Fields,"Make, Model, Number, Type dropdown, Primary checkbox",CustomerVehicle fields
Customer Profile,Add/Edit Vehicle,3.6.3,Save Vehicle,"IF new: call add_vehicle API, ELSE: call update_vehicle API",customer_portal.add_vehicle / update_vehicle
Customer Profile,Add/Edit Vehicle,3.6.4,Cancel Button,Hide form without saving,Client-side form toggle
Customer Profile,Add/Edit Vehicle,3.6.5,Refresh List,Reload vehicles list after add/edit/delete,customer_portal.get_customer_vehicles
Customer Profile,Account Statistics,3.7.1,Total Bookings,Count of all customer bookings,booking.get_customer_bookings API
Customer Profile,Account Statistics,3.7.2,Total Spent,Sum of completed booking amounts,booking.get_customer_bookings API
Customer Profile,Account Statistics,3.7.3,Loyalty Tier,"Calculate tier: Bronze (<10k), Silver (10k-25k), Gold (25k-50k), Platinum (50k+)",Client-side calculation
Customer Profile,Account Statistics,3.7.4,Member Since,Display CustomerProfile.creation date,CustomerProfile.creation
Customer Profile,Account Statistics,3.7.5,Status Badge,Display customer_status (Active/Inactive),CustomerProfile.customer_status
Customer Profile,Quick Actions,3.8.1,Book Service Link,Navigate to /customer/book-service,Navigation
Customer Profile,Quick Actions,3.8.2,My Bookings Link,Navigate to /customer/bookings,Navigation
Customer Profile,Quick Actions,3.8.3,Dashboard Link,Navigate to /customer/dashboard,Navigation
,,,,,
Dashboard Page ,,,,,
Customer Dashboard,Welcome Section,4.2.1,Welcome Message,"Display Welcome back, {customer_name}!",CustomerProfile.customer_name
Customer Dashboard,Welcome Section,4.2.2,Current Date,Display formatted current date,Client-side Date
Customer Dashboard,Statistics Cards,4.3.1,Total Bookings Card,Count of all customer bookings,booking.get_customer_bookings API
Customer Dashboard,Statistics Cards,4.3.2,Active Subscriptions Card,Count of active subscriptions (status=Active),Subscription doctype
Customer Dashboard,Statistics Cards,4.3.3,Total Spent Card,Sum of completed booking amounts (calculated client-side),booking.get_customer_bookings API
Customer Dashboard,Statistics Cards,4.3.4,Loyalty Tier Card,Display tier badge: Bronze/Silver/Gold/Platinum,Client-side calculation
Customer Dashboard,Active Subscription Widget,4.4.1,Check Subscription,"On page load, call get_active_subscription API",customer_portal.get_active_subscription
Customer Dashboard,Active Subscription Widget,4.4.2,Show Loading State,Display spinner while fetching subscription,UI loading state
Customer Dashboard,Active Subscription Widget,4.4.3,IF Active Subscription,Display subscription card with details,Subscription doctype
Customer Dashboard,Active Subscription Widget,4.4.4,Plan Name,Display subscription plan name,ProductService.product_name
Customer Dashboard,Active Subscription Widget,4.4.5,Washes Progress,Show X / Y washes used with progress bar,Subscription.used_washes_current_month / washes_per_month
Customer Dashboard,Active Subscription Widget,4.4.6,Days Remaining,Calculate and display days until billing_cycle_end,"date_diff(billing_cycle_end, today)"
Customer Dashboard,Active Subscription Widget,4.4.7,View Subscription Button,Link to /customer/subscription/my-subscription?subscription_id={id},Navigation
Customer Dashboard,Google Calendar Widget,4.5.1,Check Calendar Status,"On page load, call get_calendar_sync_status API",google_calendar_integration.get_calendar_sync_status
Customer Dashboard,Google Calendar Widget,4.5.2,Show Loading State,Display spinner while checking status,UI loading state
Customer Dashboard,Google Calendar Widget,4.5.3,IF Connected,Display Connected status with synced events count,CustomerProfile.google_calendar_enabled
Customer Dashboard,Google Calendar Widget,4.5.4,Synced Events Count,Count bookings with google_calendar_synced=1,Booking.google_calendar_synced
Customer Dashboard,Google Calendar Widget,4.5.5,Disconnect Button,Call disconnect_google_calendar API with confirmation,google_calendar_integration.disconnect_google_calendar
Customer Dashboard,Google Calendar Widget,4.5.6,ELSE Not Connected,Display Not connected with Connect Calendar button,UI state
Customer Dashboard,Google Calendar Widget,4.5.7,Connect Calendar Button,Call get_authorization_url API and redirect to Google OAuth,google_calendar_integration.get_authorization_url
Customer Dashboard,Quick Actions,4.6.1,Book Service Button,Navigate to /customer/book-service,Navigation
Customer Dashboard,Quick Actions,4.6.2,Subscribe Button,Navigate to /customer/subscription/new,Navigation
Customer Dashboard,Quick Actions,4.6.3,My Bookings Button,Navigate to /customer/bookings,Navigation
Customer Dashboard,Quick Actions,4.6.4,My Quotes Button,Navigate to /customer/quote/my-quotes,Navigation
Customer Dashboard,Recent Bookings Table,4.7.1,Load Recent Bookings,Fetch last 5 bookings on page load (server-side),Booking doctype
Customer Dashboard,Recent Bookings Table,4.7.2,Display Booking ID,Show booking_id in table,Booking.booking_id
Customer Dashboard,Recent Bookings Table,4.7.3,Display Service,Show product_name,Booking.product_name
Customer Dashboard,Recent Bookings Table,4.7.4,Display Date,Show formatted booking_date,Booking.booking_date
Customer Dashboard,Recent Bookings Table,4.7.5,Display Status,"Show status with color-coded badge (Completed=green, Cancelled=red, In Progress=blue, Confirmed=yellow, Pending=gray)",Booking.status
Customer Dashboard,Recent Bookings Table,4.7.6,Display Amount,Show formatted total_amount with ₹ symbol,Booking.total_amount
Customer Dashboard,Recent Bookings Table,4.7.7,IF No Bookings,Display empty state with Book your first service message and button,UI empty state
,,,,,
Customer Dashboard,Client-Side Stats,4.8.1,Load Stats Function,"On page load, call booking.get_customer_bookings API",booking.get_customer_bookings
Customer Dashboard,Client-Side Stats,4.8.2,Calculate Total Spent,"Filter completed bookings, sum total_amount",Client-side calculation
Customer Dashboard,Client-Side Stats,4.8.3,Calculate Loyalty Tier,"IF spent ≥50k: Platinum, ELSE IF ≥25k: Gold, ELSE IF ≥10k: Silver, ELSE: Bronze",Client-side calculation
Customer Dashboard,Client-Side Stats,4.8.4,Update UI,Display calculated values in stats cards,DOM manipulation
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BOOK SERVICE LANDING PAGE,,,,,
,,,,,
,,,,,
Book Service Landing,Service Type Display,6.1.1,Display Service Types,Show 2 cards: One-Time and Subscription,UI display
Book Service Landing,Service Type Display,6.1.2,One-Time Features,"Display: Pay per service, Flexible scheduling, No commitment, Instant booking",UI content
Book Service Landing,Service Type Display,6.1.3,Subscription Features,"Display: Discounted rates, Priority scheduling, Save up to 20%",UI content
Book Service Landing,Service Type Selection,6.2.1,Select One-Time,Store frequency_type=One-time in sessionStorage,sessionStorage
Book Service Landing,Service Type Selection,6.2.2,Select Subscription,Store frequency_type=Subscription in sessionStorage,sessionStorage
Book Service Landing,Service Type Selection,6.2.3,Visual Feedback,Highlight selected card with blue border,CSS styling
Book Service Landing,Navigation,6.3.1,Redirect One-Time,Navigate to /customer/book-service/category,Navigation
Book Service Landing,Navigation,6.3.2,Redirect Subscription,Navigate to /customer/subscription,Navigation
,,,,,
ONE-TIME BOOKING FLOW,,,,,
,,,,,
One-Time Category,Progress Indicator,7.1.1,Display Progress,"Show: 1.Type (completed), 2.Category (active), 3-8 (pending)",UI progress bar
One-Time Category,Load Categories,7.1.2,Fetch Categories,Fetch all active ServiceCategory DOCTYPE,ServiceCategory doctype
One-Time Category,Display Categories,7.1.3,Create Category Cards,"Show each with image/icon, name, description",UI cards
One-Time Category,Navigation,7.1.4,Redirect to Vehicle,Navigate to /customer/book-service/vehicle,Navigation
,,,,,
,,,,,
One-Time Vehicle,Progress Indicator,8.1.1,Display Progress,"Show: 1-2 (completed), 3.Vehicle (active), 4-8 (pending)",UI progress bar
One-Time Vehicle,Load Vehicles,8.1.2,Fetch Vehicles,Call customer_portal.get_customer_vehicles,customer_portal.get_customer_vehicles
One-Time Vehicle,Display Vehicles,8.1.3,Create Vehicle Cards,"Show make, model, number, type, primary badge",CustomerVehicle child table
One-Time Vehicle,Navigation,8.1.4,Redirect to Services,Navigate to /customer/book-service/services,Navigation
,,,,,
One-Time Service,Page Access,9.1.1,Validate Previous Steps,"Check category, frequency_type, vehicle_type exist",sessionStorage validation
One-Time Service,Progress Indicator,9.1.2,Display Progress,"Show: 1-3 (completed), 4.Service (active), 5-8 (pending)",UI progress bar
,,,,,
,,,,,
One-Time Service,Display Services,9.3.1,Create Service Cards,"Show name, description, price, duration, vehicle type",ProductService doctype
One-Time Service,Display Services,9.3.2,Service Badge,Show ONE-TIME  badge ,UI badge
One-Time Service,Display Services,9.3.3,Included Addons,Display list with addon_name,ProductServiceAddon child table
,,,,,
,,,,,
One-Time Addons,Progress Indicator,10.1.2,Display Progress,"Show: 1-4 (completed), 5.Add-ons (active), 6-8 (pending)",UI progress bar
One-Time Addons,Service Summary,10.2.1,Display Selected Service,"Show service name, price, included addons",Service data
,,,,,
,,,,,
One-Time Addons,Display Addons,10.4.1,Create Addon Cards,"Show addon_name, description, unit_price, checkbox",Addon doctype
One-Time Addons,Check Resources,10.6.2,Check Resource Needs,Check if service or selected addons require water/electricity,Resource validation
One-Time Addons,Navigation,10.6.3,Navigate to Resources,"IF resources needed, redirect to resources page",Navigation
One-Time Addons,Navigation,10.6.4,Navigate to Schedule,"IF no resources, redirect to schedule page",Navigation
,,,,,
,,,,,
One-Time Schedule,Progress Indicator,11.1.2,Display Progress,"Show: 1-6 (completed), 7.Schedule (active), 8 (pending)",UI progress bar
One-Time Schedule,Calendar Display,11.2.1,Initialize Calendar,Display calendar for current month with navigation,JavaScript Date
One-Time Schedule,Calendar Display,11.2.2,Previous Month Button,"Disable if current month, enable otherwise",Date validation
One-Time Schedule,Calendar Display,11.2.3,Next Month Button,"Disable if 3 months ahead, enable otherwise",Date validation
One-Time Schedule,Calendar Display,11.2.4,Render Days,"Display all days in 7-column grid, mark past as disabled",Calendar grid
One-Time Schedule,Calendar Display,11.2.5,Day Status Colors,"Available (green), Limited (yellow), Full (red), Past (gray)",CSS classes
One-Time Schedule,Date Selection,11.3.1,Select Date,Store selected_date in sessionStorage,sessionStorage
One-Time Schedule,Date Selection,11.3.2,Validate Date,Prevent past date selection with error,Date validation
,,,,,
One-Time Schedule,Date Selection,11.3.4,Show Slots Section,Display time slots section below calendar,UI state
One-Time Schedule,Load Slots,11.4.1,Fetch Slots,Call booking.get_available_slots_enhanced with date and product_id,booking.get_available_slots_enhanced
,,,,,
One-Time Schedule,Display Slots,11.5.1,Create Slot Cards,"Show start time, end time, capacity badge, status",BookingSlot doctype
One-Time Schedule,Display Slots,11.5.2,Capacity Badge,Show X slots left with gradient and pulse animation,UI badge
One-Time Schedule,Display Slots,11.5.3,Slot Status,"Available (green check), Full (red X), Expired (gray clock)",Slot validation
One-Time Schedule,Display Slots,11.5.4,Disable Expired,"IF end_time < now, mark unavailable",Time validation
,,,,,
One-Time Schedule,Slot Selection,11.6.1,Check Availability,Call booking.check_slot_availability,booking.check_slot_availability
One-Time Schedule,Navigation,11.8.1,Continue to Summary,Navigate to /customer/book-service/summary-payment,Navigation
One-Time Schedule,Legend,11.9.1,Display Legend,Show color legend for day statuses,UI legend
,,,,,
One-Time Summary,Page Access,12.1.1,Validate All Steps,"Check all required data: category, frequency, vehicle, service, date, slot",sessionStorage validation
One-Time Summary,Progress Indicator,12.1.2,Display Progress,"Show: 1-7 (completed), 8.Review & Pay (active)",UI progress bar
,,,,,
One-Time Summary,Service Summary,12.3.1,Display Service,"Show service name, category, type, base price, included addons",Service data
One-Time Summary,Vehicle Summary,12.3.2,Display Vehicle,Show vehicle number and type,Vehicle data
One-Time Summary,Schedule Summary,12.3.3,Display Schedule,Show formatted date and time slot,Schedule data
One-Time Summary,Addons Summary,12.3.4,Display Optional Addons,"IF addons selected, show list with names and prices",Addon data
One-Time Summary,Resources Summary,12.3.5,Display Resources,"IF resources not provided, show water/electricity status",Resource data
One-Time Summary,Calculate Price,12.4.1,Call Pricing API,Call booking.calculate_booking_price with all parameters,booking.calculate_booking_price
One-Time Summary,Price Breakdown,12.4.2,Display Base Price,Show service base_price,Pricing data
One-Time Summary,Price Breakdown,12.4.3,Display Addons Total,"IF addons selected, show addons_total",Pricing data
One-Time Summary,Price Breakdown,12.4.4,Display Water Surcharge,"IF water not provided, show water_surcharge",Pricing data
One-Time Summary,Price Breakdown,12.4.5,Display Electricity Surcharge,"IF electricity not provided, show electricity_surcharge",Pricing data
One-Time Summary,Price Breakdown,12.4.6,Display Total Amount,Show total_amount in large bold text,Pricing data
One-Time Summary,Create Booking,12.6.2,Call Create API,Call booking.create_booking with all parameters,booking.create_booking
One-Time Summary,Create Booking,12.6.3,Handle Slot Error,"IF slot unavailable error, show special modal with Select Another Slot button",Error handling
One-Time Summary,Create Booking,12.6.4,Handle Generic Error,Show error message for other failures,Error handling
One-Time Summary,Process Payment,12.7.1,Create Token Payment,Call booking.create_token_payment with booking_name,booking.create_token_payment
One-Time Summary,Process Payment,12.7.2,Confirm Payment,Call booking.confirm_payment_and_sync_calendar,booking.confirm_payment_and_sync_calendar
One-Time Summary,Success,12.8.1,Store Booking Data,Store confirmed_booking in sessionStorage for confirmation page,sessionStorage
One-Time Summary,Success,12.8.2,Show Success Modal,"Display modal with booking details, payment info, auto-redirect message",frappe.msgprint
One-Time Summary,Success,12.8.3,Auto Redirect,Redirect to /customer/book-service/booking-confirmation after 3 seconds,Navigation
One-Time Summary,Navigation,12.9.1,Back Button,Navigate back to schedule page,Navigation
,,,,,
One-Time Confirmation,Page Access,13.1.1,Check Booking Data,Check for confirmed_booking or confirmed_booking_id in sessionStorage,sessionStorage
One-Time Confirmation,Booking Details,13.4.1,Display Booking ID,Show booking_id with hashtag icon,Booking data
One-Time Confirmation,Booking Details,13.4.2,Display Status,Show status badge (Confirmed/Pending),Booking data
One-Time Confirmation,Booking Details,13.4.3,Display Service,Show product_name,Booking data
One-Time Confirmation,Booking Details,13.4.4,Display Vehicle,Show vehicle_number,Booking data
One-Time Confirmation,Booking Details,13.4.5,Display Date,Show formatted booking_date,Booking data
